observation_id,fiducial_id,target_width,target_distance,staff_reading,target_angle_rad,target_angle_deg,ideal_staff_reading,staff_reading_residual,notes_id
SUR-CAL-2026-001-0001,1.0,8.0,120,15.5,0.06664199175649439,3.8183048659927525,15.0,0.5,
SUR-CAL-2026-001-0002,1.0,4.0,120,30.75,0.033330247427881494,1.9096825077443773,30.000000000000007,0.7499999999999929,
SUR-CAL-2026-001-0003,0.25,1.0,120,31.05,0.008333285108527032,0.4774620661978171,30.0,1.0500000000000007,
SUR-CAL-2026-001-0004,0.25,2.0,120,13.435,0.016666280880271837,0.9549075546191548,15.0,-1.5649999999999995,NOTE-0001
SUR-CAL-2026-001-0005,1.0,4.0,120,29.25,0.033330247427881494,1.9096825077443773,30.000000000000007,-0.7500000000000071,
SUR-CAL-2026-001-0006,1.0,8.0,120,14.25,0.06664199175649439,3.8183048659927525,15.0,-0.75,
SUR-CAL-2026-001-0007,0.25,0.5,49,22.75,0.010203993093830147,0.5846457384571068,24.499999999999996,-1.7499999999999964,
SUR-CAL-2026-001-0008,0.25,0.5,49,23.625,0.010203993093830147,0.5846457384571068,24.499999999999996,-0.8749999999999964,
SUR-CAL-2026-001-0009,4.0,8.0,49,28.25,0.16290408861174194,9.333716742877991,24.500000000000007,3.749999999999993,
SUR-CAL-2026-001-0010,1.0,4.0,49,13.51,0.0815873657357308,4.67461171824764,12.250000000000002,1.259999999999998,
SUR-CAL-2026-001-0011,0.25,1.0,48,11.375,0.02083257986193932,1.1936189024583541,12.0,-0.625,
SUR-CAL-2026-001-0012,0.25,1.0,120,30.375,0.008333285108527032,0.4774620661978171,30.0,0.375,
SUR-CAL-2026-001-0013,0.25,2.0,120,13.625,0.016666280880271837,0.9549075546191548,15.0,-1.375,
SUR-CAL-2026-001-0014,1.0,2.0,48,26.875,0.04166064007243417,2.38697884796407,23.999999999999996,2.8750000000000036,
SUR-CAL-2026-001-0015,1.0,4.0,120,30.0,0.033330247427881494,1.9096825077443773,30.000000000000007,-7.105427357601002e-15,
SUR-CAL-2026-001-0016,0.25,2.0,120,13.7,0.016666280880271837,0.9549075546191548,15.0,-1.3000000000000007,
SUR-CAL-2026-001-0017,1.0,8.0,120,14.425,0.06664199175649439,3.8183048659927525,15.0,-0.5749999999999993,
SUR-CAL-2026-001-0018,0.25,0.5,48,22.8,0.010416572478143737,0.5968256399897651,24.0,-1.1999999999999993,
SUR-CAL-2026-001-0019,1.0,4.0,48,12.325,0.08328515819717684,4.771888060777625,12.0,0.3249999999999993,
SUR-CAL-2026-001-0020,1.0,8.0,120,14.55,0.06664199175649439,3.8183048659927525,15.0,-0.4499999999999993,
SUR-CAL-2026-001-0021,1.0,4.0,120,30.0,0.033330247427881494,1.9096825077443773,30.000000000000007,-7.105427357601002e-15,
SUR-CAL-2026-001-0022,0.25,2.0,120,16.32,0.016666280880271837,0.9549075546191548,15.0,1.3200000000000003,
SUR-CAL-2026-001-0023,0.25,1.0,120,32.375,0.008333285108527032,0.4774620661978171,30.0,2.375,
SUR-CAL-2026-001-0024,0.25,0.5,48,26.875,0.010416572478143737,0.5968256399897651,24.0,2.875,
SUR-CAL-2026-001-0025,0.25,1.0,120,32.375,0.008333285108527032,0.4774620661978171,30.0,2.375,
SUR-CAL-2026-001-0026,0.25,0.5,48,24.4,0.010416572478143737,0.5968256399897651,24.0,0.3999999999999986,
SUR-CAL-2026-001-0027,1.0,4.0,120,31.125,0.033330247427881494,1.9096825077443773,30.000000000000007,1.124999999999993,
