observation_id,observer_id,instrument,target_name,angle_deg,observed_at
AST-PILOT-001-OBS-001,OBS-0001,quadrant,Dubhe,32.5,2026-07-26T04:22:57Z
AST-PILOT-001-OBS-002,OBS-0001,quadrant,Dubhe,32.5,2026-07-26T04:24:02Z
AST-PILOT-001-OBS-003,OBS-0001,quadrant,Merak,29.6,2026-07-26T04:26:56Z
AST-PILOT-001-OBS-004,OBS-0001,quadrant,Phecda,35.75,2026-07-26T04:28:03Z
AST-PILOT-001-OBS-005,OBS-0001,quadrant,Alioth,44.75,2026-07-26T04:28:45Z
AST-PILOT-001-OBS-006,OBS-0001,quadrant,Mizar,49,2026-07-26T04:29:48Z
AST-PILOT-001-OBS-007,OBS-0001,quadrant,Alkaid,53.5,2026-07-26T04:30:19Z
AST-PILOT-001-OBS-008,OBS-0001,quadrant,Polaris,33.5,2026-07-26T04:33:33Z
AST-PILOT-001-OBS-009,OBS-0001,quadrant,Kochab,49.25,2026-07-26T04:35:00Z
AST-PILOT-001-OBS-010,OBS-0001,compass,Dubhe,309,2026-07-26T04:36:58Z
AST-PILOT-001-OBS-011,OBS-0001,compass,Merak,300,2026-07-26T04:37:37Z
AST-PILOT-001-OBS-012,OBS-0001,compass,Phecda,298,2026-07-26T04:38:10Z
AST-PILOT-001-OBS-013,OBS-0001,compass,Megrez,306,2026-07-26T04:39:00Z
AST-PILOT-001-OBS-014,OBS-0001,compass,Alioth,293,2026-07-26T04:41:32Z
AST-PILOT-001-OBS-015,OBS-0001,compass,Mizar,294,2026-07-26T04:42:30Z
AST-PILOT-001-OBS-016,OBS-0001,compass,Alkaid,284,2026-07-26T04:43:05Z
AST-PILOT-001-OBS-017,OBS-0001,compass,Polaris,344,2026-07-26T04:43:44Z
AST-PILOT-001-OBS-018,OBS-0001,compass,Kochab,331,2026-07-26T04:44:13Z
AST-PILOT-001-OBS-019,OBS-0001,compass,Dubhe,311,2026-07-26T04:44:50Z
AST-PILOT-001-OBS-020,OBS-0001,compass,Merak,301,2026-07-26T04:45:30Z
AST-PILOT-001-OBS-021,OBS-0001,compass,Phecda,298,2026-07-26T04:45:51Z
