schema_version,survey_id,observation_id,observed_at,observer_id,instrument_instance_id,fiducial_width,staff_reading,notes_id,calibration,field_observation.primary_target_id,field_observation.secondary_target_id
0.3,SUR-PIL-2026-002,CS-0001,2026-07-28T04:59:35Z,OBS-0001,INS-0001,25.4,269.875,,,Dubhe,Merok
0.3,SUR-PIL-2026-002,CS-0002,2026-07-28T05:01:51Z,OBS-0001,INS-0001,101.6,708.025,,,Merok,Phecda
0.3,SUR-PIL-2026-002,CS-0003,2026-07-28T05:03:50Z,OBS-0001,INS-0001,25.4,315.595,,,Phecda,Megrez
0.3,SUR-PIL-2026-002,CS-0004,2026-07-28T05:05:52Z,OBS-0001,INS-0001,25.4,266.7,,,Megrez,Alioth
0.3,SUR-PIL-2026-002,CS-0005,2026-07-28T05:07:36Z,OBS-0001,INS-0001,25.4,307.975,,,Alioth,Mizar
0.3,SUR-PIL-2026-002,CS-0006,2026-07-28T05:09:23Z,OBS-0001,INS-0001,25.4,200.025,,,Alkaid,Mizar
0.3,SUR-PIL-2026-002,CS-0007,2026-07-28T05:11:28Z,OBS-0001,INS-0001,25.4,168.275,,,Merok,Phecda
0.3,SUR-PIL-2026-002,CS-0008,2026-07-28T05:12:50Z,OBS-0001,INS-0001,25.4,127,,,Alkaid,Alioth
0.3,SUR-PIL-2026-002,CS-0009,2026-07-28T05:13:46Z,OBS-0001,INS-0001,101.6,530.86,,,Alkaid,Alioth
0.3,SUR-PIL-2026-002,CS-0010,2026-07-28T05:15:55Z,OBS-0001,INS-0001,101.6,587.375,,,Mizar,Megrez
0.3,SUR-PIL-2026-002,CS-0011,2026-07-28T05:17:23Z,OBS-0001,INS-0001,101.6,376.555,,,Alioth,Dubhe
0.3,SUR-PIL-2026-002,CS-0012,2026-07-28T05:19:35Z,OBS-0001,INS-0001,101.6,374.65,,,Alioth,Merok
0.3,SUR-PIL-2026-002,CS-0013,2026-07-28T05:21:12Z,OBS-0001,INS-0001,101.6,321.945,,,Alkaid,Phecda
0.3,SUR-PIL-2026-002,CS-0014,2026-07-28T05:23:20Z,OBS-0001,INS-0001,355.6,673.1,,,Polaris,Dubhe
0.3,SUR-PIL-2026-002,CS-0015,2026-07-28T05:24:35Z,OBS-0001,INS-0001,355.6,508,,,Polaris,Phecda
0.3,SUR-PIL-2026-002,CS-0016,2026-07-28T05:27:30Z,OBS-0001,INS-0001,101.6,243.205,,,Mizar,Kochab
0.3,SUR-PIL-2026-002,CS-0017,2026-07-28T05:30:09Z,OBS-0001,INS-0001,101.6,222.25,,,Alkaid,Kochab
0.3,SUR-PIL-2026-002,CS-0018,2026-07-28T05:33:05Z,OBS-0001,INS-0001,101.6,200.025,,,Kochab,Phecda
0.3,SUR-PIL-2026-002,CS-0019,2026-07-28T05:35:52Z,OBS-0001,INS-0001,101.6,234.95,,,Kochab,Megrez
