schema_version,survey_id,observation_id,observed_at,observer_id,instrument_instance_id,fiducial_width,staff_reading,notes_id,calibration,field_observation.primary_target_id,field_observation.secondary_target_id
0.3,SUR-PIL-2026-002,CS-0001,2026-07-28T04:59:35Z,OBS-0001,INS-0001,1,10.625,,,Dubhe,Merok
0.3,SUR-PIL-2026-002,CS-0002,2026-07-28T05:01:51Z,OBS-0001,INS-0001,4,27.875,,,Merok,Phecda
0.3,SUR-PIL-2026-002,CS-0003,2026-07-28T05:03:50Z,OBS-0001,INS-0001,1,12.425,,,Phecda,Megrez
0.3,SUR-PIL-2026-002,CS-0004,2026-07-28T05:05:52Z,OBS-0001,INS-0001,1,10.5,,,Megrez,Alioth
0.3,SUR-PIL-2026-002,CS-0005,2026-07-28T05:07:36Z,OBS-0001,INS-0001,1,12.125,,,Alioth,Mizar
0.3,SUR-PIL-2026-002,CS-0006,2026-07-28T05:09:23Z,OBS-0001,INS-0001,1,7.875,,,Alkaid,Mizar
0.3,SUR-PIL-2026-002,CS-0007,2026-07-28T05:11:28Z,OBS-0001,INS-0001,1,6.625,,,Merok,Phecda
0.3,SUR-PIL-2026-002,CS-0008,2026-07-28T05:12:50Z,OBS-0001,INS-0001,1,5.0,,,Alkaid,Alioth
0.3,SUR-PIL-2026-002,CS-0009,2026-07-28T05:13:46Z,OBS-0001,INS-0001,4,20.9,,,Alkaid,Alioth
0.3,SUR-PIL-2026-002,CS-0010,2026-07-28T05:15:55Z,OBS-0001,INS-0001,4,23.125,,,Mizar,Megrez
0.3,SUR-PIL-2026-002,CS-0011,2026-07-28T05:17:23Z,OBS-0001,INS-0001,4,14.825,,,Alioth,Dubhe
0.3,SUR-PIL-2026-002,CS-0012,2026-07-28T05:19:35Z,OBS-0001,INS-0001,4,14.75,,,Alioth,Merok
0.3,SUR-PIL-2026-002,CS-0013,2026-07-28T05:21:12Z,OBS-0001,INS-0001,4,12.675,,,Alkaid,Phecda
0.3,SUR-PIL-2026-002,CS-0014,2026-07-28T05:23:20Z,OBS-0001,INS-0001,14,26.5,,,Polaris,Dubhe
0.3,SUR-PIL-2026-002,CS-0015,2026-07-28T05:24:35Z,OBS-0001,INS-0001,14,20.0,,,Polaris,Phecda
0.3,SUR-PIL-2026-002,CS-0016,2026-07-28T05:27:30Z,OBS-0001,INS-0001,4,9.575,,,Mizar,Kochab
0.3,SUR-PIL-2026-002,CS-0017,2026-07-28T05:30:09Z,OBS-0001,INS-0001,4,8.75,,,Alkaid,Kochab
0.3,SUR-PIL-2026-002,CS-0018,2026-07-28T05:33:05Z,OBS-0001,INS-0001,4,7.875,,,Kochab,Phecda
0.3,SUR-PIL-2026-002,CS-0019,2026-07-28T05:35:52Z,OBS-0001,INS-0001,4,9.25,,,Kochab,Megrez
