# INS-001 (Cross-staff)
# OBS-0001 D. Hazelett
# INS-001 Cross-staff
# collected in Valencia, CA 07/28/2026 UTC (7/28 local)
# location 34°24'27"N 118°34'2"W
# 1250 ft elevation
# Units: Imperial inches (fiducial & staff fields)
# first line header
targ1,targ2,fiducial,staff,timeutc
Dubhe,Merok,1,10.625,04:59:35
Merok,Phecda,4,27.875,05:01:51
Phecda,Megrez,1,12.425,05:03:50
Megrez,Alioth,1,10.5,05:05:52
Alioth,Mizar,1,12.125,05:07:36
Alkaid,Mizar,1,7.875,05:09:23
Merok,Phecda,1,6.625,05:11:28
Alkaid,Alioth,1,5.00,05:12:50
Alkaid,Alioth,4,20.9,05:13:46
Mizar,Megrez,4,23.125,05:15:55
Alioth,Dubhe,4,14.825,05:17:23
Alioth,Merok,4,14.75,05:19:35
Alkaid,Phecda,4,12.675,05:21:12
Polaris,Dubhe,14,26.5,05:23:20
Polaris,Phecda,14,20.0,05:24:35
Mizar,Kochab,4,9.575,05:27:30
Alkaid,Kochab,4,8.75,05:30:09
Kochab,Phecda,4,7.875,05:33:05
Kochab,Megrez,4,9.25,05:35:52
