observation_id,observer_id,instrument,target_id,target_vertical_offset_m,angle_deg,observed_at
SUR-CAL-002-OBS-001,OBS-0001,quadrant,LEVEL-0,0.0000,0,2026-07-25T02:27:15Z
SUR-CAL-002-OBS-002,OBS-0001,quadrant,LEVEL-1,0.3048,12.5,2026-07-25T02:28:36Z
SUR-CAL-002-OBS-003,OBS-0001,quadrant,LEVEL-2,0.6096,23.25,2026-07-25T02:29:50Z
SUR-CAL-002-OBS-004,OBS-0001,quadrant,LEVEL-3,0.9144,30.75,2026-07-25T02:30:42Z
SUR-CAL-002-OBS-005,OBS-0001,quadrant,LEVEL-4,1.2192,41.25,2026-07-25T02:31:45Z
SUR-CAL-002-OBS-006,OBS-0001,quadrant,LEVEL-5,1.5240,48.5,2026-07-25T02:33:49Z
SUR-CAL-002-OBS-007,OBS-0001,quadrant,LEVEL-0,0.0000,-0.5,2026-07-25T02:34:35Z
SUR-CAL-002-OBS-008,OBS-0001,quadrant,LEVEL-1,0.3048,12.75,2026-07-25T02:35:12Z
SUR-CAL-002-OBS-009,OBS-0001,quadrant,LEVEL-2,0.6096,22.5,2026-07-25T02:35:47Z
SUR-CAL-002-OBS-010,OBS-0001,quadrant,LEVEL-3,0.9144,33.25,2026-07-25T02:36:08Z
SUR-CAL-002-OBS-011,OBS-0001,quadrant,LEVEL-4,1.2192,41.75,2026-07-25T02:36:49Z
SUR-CAL-002-OBS-012,OBS-0001,quadrant,LEVEL-5,1.5240,47.25,2026-07-25T02:37:45Z
SUR-CAL-002-OBS-013,OBS-0001,quadrant,LEVEL-0,0.0000,1,2026-07-25T02:38:29Z
SUR-CAL-002-OBS-014,OBS-0001,quadrant,LEVEL-1,0.3048,12.25,2026-07-25T02:39:27Z
SUR-CAL-002-OBS-015,OBS-0001,quadrant,LEVEL-2,0.6096,25.5,2026-07-25T02:40:16Z
SUR-CAL-002-OBS-016,OBS-0001,quadrant,LEVEL-3,0.9144,36.25,2026-07-25T02:40:48Z
SUR-CAL-002-OBS-017,OBS-0001,quadrant,LEVEL-4,1.2192,43.75,2026-07-25T02:41:23Z
SUR-CAL-002-OBS-018,OBS-0001,quadrant,LEVEL-5,1.5240,50.6,2026-07-25T02:42:00Z
SUR-CAL-002-OBS-019,OBS-0001,quadrant,LEVEL-0,0.0000,1,2026-07-25T02:43:16Z
SUR-CAL-002-OBS-020,OBS-0001,quadrant,LEVEL-1,0.3048,11.75,2026-07-25T02:43:42Z
SUR-CAL-002-OBS-021,OBS-0001,quadrant,LEVEL-2,0.6096,23.25,2026-07-25T02:44:24Z
SUR-CAL-002-OBS-022,OBS-0001,quadrant,LEVEL-3,0.9144,34.5,2026-07-25T02:44:57Z
SUR-CAL-002-OBS-023,OBS-0001,quadrant,LEVEL-4,1.2192,43.25,2026-07-25T02:45:37Z
SUR-CAL-002-OBS-024,OBS-0001,quadrant,LEVEL-5,1.5240,44,2026-07-25T02:46:26Z
SUR-CAL-002-OBS-025,OBS-0001,quadrant,LEVEL-5,1.5240,48.5,2026-07-25T02:47:18Z
SUR-CAL-002-OBS-026,OBS-0001,quadrant,LEVEL-0,0.0000,0.75,2026-07-25T02:48:52Z
SUR-CAL-002-OBS-027,OBS-0001,quadrant,LEVEL-1,0.3048,13.5,2026-07-25T02:49:32Z
SUR-CAL-002-OBS-028,OBS-0001,quadrant,LEVEL-2,0.6096,22.75,2026-07-25T02:50:16Z
