instrument,object,angle,date,time
quadrant,Dubhe,32.5,7/26/26,4:22:57
quadrant,Dubhe,32.5,7/26/26,4:24:02
quadrant,Merak,29.6,7/26/26,4:26:56
quadrant,Phecda,35.75,7/26/26,4:28:03
quadrant,Alioth,44.75,7/26/26,4:28:45
quadrant,Mizar,49,7/26/26,4:29:48
quadrant,Alkaid,53.5,7/26/26,4:30:19
quadrant,Polaris,33.5,7/26/26,4:33:33
quadrant,Kochab,49.25,7/26/26,4:35:00
compass,Dubhe,309,7/26/26,4:36:58
compass,Merak,300,7/26/26,4:37:37
compass,Phecda,298,7/26/26,4:38:10
compass,Megrez,306,7/26/26,4:39:00
compass,Alioth,293,7/26/26,4:41:32
compass,Mizar,294,7/26/26,4:42:30
compass,Alkaid,284,7/26/26,4:43:05
compass,Polaris,344,7/26/26,4:43:44
compass,Kochab,331,7/26/26,4:44:13
compass,Dubhe,311,7/26/26,4:44:50
compass,Merak,301,7/26/26,4:45:30
compass,Phecda,298,7/26/26,4:45:51
,,,,
