Obs Nr,Date,Observer,Instr rev,Fiducial,TargetWidth,TargetDist,Reading,Notes
1,7/21/26,D. Hazelett,CS-0.2,1,8,120,15.5,
2,7/21/26,D. Hazelett,CS-0.2,1,4,120,30.75,
3,7/21/26,D. Hazelett,CS-0.2,0.25,1,120,31.05,
4,7/21/26,D. Hazelett,CS-0.2,0.25,2,120,13.435,the cross piece is too close-out of focus 
5,7/21/26,D. Hazelett,CS-0.2,1,4,120,29.25,
6,7/21/26,D. Hazelett,CS-0.2,1,8,120,14.25,
7,7/21/26,D. Hazelett,CS-0.2,0.25,0.5,49,22.75,
8,7/21/26,D. Hazelett,CS-0.2,0.25,0.5,49,23.625,
9,7/21/26,D. Hazelett,CS-0.2,4,8,49,28.25,
10,7/21/26,D. Hazelett,CS-0.2,1,4,49,13.51,
11,7/21/26,D. Hazelett,CS-0.2,0.25,1,48,11.375,
12,7/21/26,D. Hazelett,CS-0.2,0.25,1,120,30.375,
13,7/21/26,D. Hazelett,CS-0.2,0.25,2,120,13.625,
14,7/21/26,D. Hazelett,CS-0.2,1,2,48,26.875,
15,7/21/26,D. Hazelett,CS-0.2,1,4,120,30,
16,7/21/26,D. Hazelett,CS-0.2,0.25,2,120,13.7,
17,7/21/26,D. Hazelett,CS-0.2,1,8,120,14.425,
18,7/21/26,D. Hazelett,CS-0.2,0.25,0.5,48,22.8,
19,7/21/26,D. Hazelett,CS-0.2,1,4,48,12.325,
20,7/21/26,D. Hazelett,CS-0.2,1,8,120,14.55,
21,7/21/26,D. Hazelett,CS-0.2,1,4,120,30,
22,7/21/26,D. Hazelett,CS-0.2,0.25,2,120,16.32,
23,7/21/26,D. Hazelett,CS-0.2,0.25,1,120,32.375,
24,7/21/26,D. Hazelett,CS-0.2,0.25,0.5,48,26.875,
25,7/21/26,D. Hazelett,CS-0.2,0.25,1,120,32.375,
26,7/21/26,D. Hazelett,CS-0.2,0.25,0.5,48,24.4,
27,7/21/26,D. Hazelett,CS-0.2,1,4,120,31.125,
