observation_id,fiducial_id,target_width,target_distance,staff_reading,ideal_staff_reading,ideal_residual,effective_fiducial_width,calibrated_staff_reading,calibrated_residual,notes_id
SUR-CAL-2026-001-0001,1.0,8.0,120,15.5,15.0,0.5,1.0164208889464816,15.246313334197225,0.25368666580277477,
SUR-CAL-2026-001-0002,1.0,4.0,120,30.75,30.000000000000007,0.7499999999999929,1.0164208889464816,30.492626668394458,0.25737333160554243,
SUR-CAL-2026-001-0003,0.25,1.0,120,31.05,30.0,1.0500000000000007,0.2539431330472103,30.473175965665234,0.5768240343347664,
SUR-CAL-2026-001-0004,0.25,2.0,120,13.435,15.0,-1.5649999999999995,0.2539431330472103,15.236587982832617,-1.8015879828326167,NOTE-0001
SUR-CAL-2026-001-0005,1.0,4.0,120,29.25,30.000000000000007,-0.7500000000000071,1.0164208889464816,30.492626668394458,-1.2426266683944576,
SUR-CAL-2026-001-0006,1.0,8.0,120,14.25,15.0,-0.75,1.0164208889464816,15.246313334197225,-0.9963133341972252,
SUR-CAL-2026-001-0007,0.25,0.5,49,22.75,24.499999999999996,-1.7499999999999964,0.2539431330472103,24.886427038626604,-2.1364270386266035,
SUR-CAL-2026-001-0008,0.25,0.5,49,23.625,24.499999999999996,-0.8749999999999964,0.2539431330472103,24.886427038626604,-1.2614270386266035,
SUR-CAL-2026-001-0009,4.0,8.0,49,28.25,24.500000000000007,3.749999999999993,4.612244897959182,28.249999999999996,3.552713678800501e-15,
SUR-CAL-2026-001-0010,1.0,4.0,49,13.51,12.250000000000002,1.259999999999998,1.0164208889464816,12.451155889594402,1.0588441104055981,
SUR-CAL-2026-001-0011,0.25,1.0,48,11.375,12.0,-0.625,0.2539431330472103,12.189270386266093,-0.8142703862660934,
SUR-CAL-2026-001-0012,0.25,1.0,120,30.375,30.0,0.375,0.2539431330472103,30.473175965665234,-0.09817596566523434,
SUR-CAL-2026-001-0013,0.25,2.0,120,13.625,15.0,-1.375,0.2539431330472103,15.236587982832617,-1.6115879828326172,
SUR-CAL-2026-001-0014,1.0,2.0,48,26.875,23.999999999999996,2.8750000000000036,1.0164208889464816,24.394101334715558,2.4808986652844425,
SUR-CAL-2026-001-0015,1.0,4.0,120,30.0,30.000000000000007,-7.105427357601002e-15,1.0164208889464816,30.492626668394458,-0.49262666839445757,
SUR-CAL-2026-001-0016,0.25,2.0,120,13.7,15.0,-1.3000000000000007,0.2539431330472103,15.236587982832617,-1.5365879828326179,
SUR-CAL-2026-001-0017,1.0,8.0,120,14.425,15.0,-0.5749999999999993,1.0164208889464816,15.246313334197225,-0.8213133341972245,
SUR-CAL-2026-001-0018,0.25,0.5,48,22.8,24.0,-1.1999999999999993,0.2539431330472103,24.378540772532187,-1.578540772532186,
SUR-CAL-2026-001-0019,1.0,4.0,48,12.325,12.0,0.3249999999999993,1.0164208889464816,12.19705066735778,0.12794933264221875,
SUR-CAL-2026-001-0020,1.0,8.0,120,14.55,15.0,-0.4499999999999993,1.0164208889464816,15.246313334197225,-0.6963133341972245,
SUR-CAL-2026-001-0021,1.0,4.0,120,30.0,30.000000000000007,-7.105427357601002e-15,1.0164208889464816,30.492626668394458,-0.49262666839445757,
SUR-CAL-2026-001-0022,0.25,2.0,120,16.32,15.0,1.3200000000000003,0.2539431330472103,15.236587982832617,1.0834120171673831,
SUR-CAL-2026-001-0023,0.25,1.0,120,32.375,30.0,2.375,0.2539431330472103,30.473175965665234,1.9018240343347657,
SUR-CAL-2026-001-0024,0.25,0.5,48,26.875,24.0,2.875,0.2539431330472103,24.378540772532187,2.4964592274678132,
SUR-CAL-2026-001-0025,0.25,1.0,120,32.375,30.0,2.375,0.2539431330472103,30.473175965665234,1.9018240343347657,
SUR-CAL-2026-001-0026,0.25,0.5,48,24.4,24.0,0.3999999999999986,0.2539431330472103,24.378540772532187,0.021459227467811814,
SUR-CAL-2026-001-0027,1.0,4.0,120,31.125,30.000000000000007,1.124999999999993,1.0164208889464816,30.492626668394458,0.6323733316055424,
