fiducial_id,target_distance,target_width,count,mean,median,std,min,max
0.25,48,0.5,3,24.691666666666666,24.4,2.0530972537445313,22.8,26.875
0.25,48,1.0,1,11.375,11.375,,11.375,11.375
0.25,49,0.5,2,23.1875,23.1875,0.6187184335382291,22.75,23.625
0.25,120,1.0,4,31.54375,31.7125,0.9986188378622419,30.375,32.375
0.25,120,2.0,4,14.27,13.6625,1.3712099280076209,13.435,16.32
1.0,48,2.0,1,26.875,26.875,,26.875,26.875
1.0,48,4.0,1,12.325,12.325,,12.325,12.325
1.0,49,4.0,1,13.51,13.51,,13.51,13.51
1.0,120,4.0,5,30.225,30.0,0.7310095758606721,29.25,31.125
1.0,120,8.0,4,14.68125,14.4875,0.5595291919700583,14.25,15.5
4.0,49,8.0,1,28.25,28.25,,28.25,28.25
