observation_id,observer_id,instrument,reference_target_id,angle_deg,observed_time_utc
SUR-CAL-002-OBS-001,OBS-0001,quadrant,LEVEL-0,0,02:27:15
SUR-CAL-002-OBS-002,OBS-0001,quadrant,LEVEL-1,12.5,02:28:36
SUR-CAL-002-OBS-003,OBS-0001,quadrant,LEVEL-2,23.25,02:29:50
SUR-CAL-002-OBS-004,OBS-0001,quadrant,LEVEL-3,30.75,02:30:42
SUR-CAL-002-OBS-005,OBS-0001,quadrant,LEVEL-4,41.25,02:31:45
SUR-CAL-002-OBS-006,OBS-0001,quadrant,LEVEL-5,48.5,02:33:49
SUR-CAL-002-OBS-007,OBS-0001,quadrant,LEVEL-0,-0.5,02:34:35
SUR-CAL-002-OBS-008,OBS-0001,quadrant,LEVEL-1,12.75,02:35:12
SUR-CAL-002-OBS-009,OBS-0001,quadrant,LEVEL-2,22.5,02:35:47
SUR-CAL-002-OBS-010,OBS-0001,quadrant,LEVEL-3,33.25,02:36:08
SUR-CAL-002-OBS-011,OBS-0001,quadrant,LEVEL-4,41.75,02:36:49
SUR-CAL-002-OBS-012,OBS-0001,quadrant,LEVEL-5,47.25,02:37:45
SUR-CAL-002-OBS-013,OBS-0001,quadrant,LEVEL-0,1,02:38:29
SUR-CAL-002-OBS-014,OBS-0001,quadrant,LEVEL-1,12.25,02:39:27
SUR-CAL-002-OBS-015,OBS-0001,quadrant,LEVEL-2,25.5,02:40:16
SUR-CAL-002-OBS-016,OBS-0001,quadrant,LEVEL-3,36.25,02:40:48
SUR-CAL-002-OBS-017,OBS-0001,quadrant,LEVEL-4,43.75,02:41:23
SUR-CAL-002-OBS-018,OBS-0001,quadrant,LEVEL-5,50.6,02:42:00
SUR-CAL-002-OBS-019,OBS-0001,quadrant,LEVEL-0,1,02:43:16
SUR-CAL-002-OBS-020,OBS-0001,quadrant,LEVEL-1,11.75,02:43:42
SUR-CAL-002-OBS-021,OBS-0001,quadrant,LEVEL-2,23.25,02:44:24
SUR-CAL-002-OBS-022,OBS-0001,quadrant,LEVEL-3,34.5,02:44:57
SUR-CAL-002-OBS-023,OBS-0001,quadrant,LEVEL-4,43.25,02:45:37
SUR-CAL-002-OBS-024,OBS-0001,quadrant,LEVEL-5,44,02:46:26
SUR-CAL-002-OBS-025,OBS-0001,quadrant,LEVEL-5,48.5,02:47:18
SUR-CAL-002-OBS-026,OBS-0001,quadrant,LEVEL-0,0.75,02:48:52
SUR-CAL-002-OBS-027,OBS-0001,quadrant,LEVEL-1,13.5,02:49:32
SUR-CAL-002-OBS-028,OBS-0001,quadrant,LEVEL-2,22.75,02:50:16
SUR-CAL-002-OBS-029,OBS-0001,quadrant,LEVEL-3,34.5,02:50:59
SUR-CAL-002-OBS-030,OBS-0001,quadrant,LEVEL-4,43,02:53:26
SUR-CAL-002-OBS-031,OBS-0001,quadrant,LEVEL-4,42.25,02:53:51
SUR-CAL-002-OBS-032,OBS-0001,quadrant,LEVEL-5,49.25,02:54:26
SUR-CAL-002-OBS-033,OBS-0001,quadrant,LEVEL-0,0,02:55:33
SUR-CAL-002-OBS-034,OBS-0001,quadrant,LEVEL-1,11.75,02:55:59
SUR-CAL-002-OBS-035,OBS-0001,quadrant,LEVEL-2,23.5,02:56:38
SUR-CAL-002-OBS-036,OBS-0001,quadrant,LEVEL-3,33.25,02:57:05
SUR-CAL-002-OBS-037,OBS-0001,quadrant,LEVEL-0,0.25,02:58:00
SUR-CAL-002-OBS-038,OBS-0001,quadrant,LEVEL-1,9.75,02:58:39
SUR-CAL-002-OBS-039,OBS-0001,quadrant,LEVEL-2,22.75,02:59:06
SUR-CAL-002-OBS-040,OBS-0001,quadrant,LEVEL-3,33.75,03:00:11
SUR-CAL-002-OBS-041,OBS-0001,quadrant,LEVEL-4,41,03:00:42
SUR-CAL-002-OBS-042,OBS-0001,quadrant,LEVEL-5,49.25,03:01:18
SUR-CAL-002-OBS-043,OBS-0001,quadrant,LEVEL-0,1.25,03:02:18
SUR-CAL-002-OBS-044,OBS-0001,quadrant,LEVEL-1,10.75,03:02:46
SUR-CAL-002-OBS-045,OBS-0001,quadrant,LEVEL-2,25.75,03:03:19
SUR-CAL-002-OBS-046,OBS-0001,quadrant,LEVEL-3,31.25,03:04:05
SUR-CAL-002-OBS-047,OBS-0001,quadrant,LEVEL-4,43,03:04:51
SUR-CAL-002-OBS-048,OBS-0001,quadrant,LEVEL-5,49.25,03:05:26
