reference level,degrees,UTC
0,0,2:27:15
1,12.5,2:28:36
2,23.25,2:29:50
3,30.75,2:30:42
4,41.25,2:31:45
5,48.5,2:33:49
0,-0.5,2:34:35
1,12.75,2:35:12
2,22.5,2:35:47
3,33.25,2:36:08
4,41.75,2:36:49
5,47.25,2:37:45
0,1,2:38:29
1,12.25,2:39:27
2,25.5,2:40:16
3,36.25,2:40:48
4,43.75,2:41:23
5,50.6,2:42:00
0,1,2:43:16
1,11.75,2:43:42
2,23.25,2:44:24
3,34.5,2:44:57
4,43.25,2:45:37
5,44,2:46:26
5,48.5,2:47:18
0,0.75,2:48:52
1,13.5,2:49:32
2,22.75,2:50:16
3,34.5,2:50:59
4,43,2:53:26
4,42.25,2:53:51
5,49.25,2:54:26
0,0,2:55:33
1,11.75,2:55:59
2,23.5,2:56:38
3,33.25,2:57:05
0,0.25,2:58:00
1,9.75,2:58:39
2,22.75,2:59:06
3,33.75,3:00:11
4,41,3:00:42
5,49.25,3:01:18
0,1.25,3:02:18
1,10.75,3:02:46
2,25.75,3:03:19
3,31.25,3:04:05
4,43,3:04:51
5,49.25,3:05:26
